Net Asset Value,Repurchase Price,Sale Price,NAV date
13.5113,13.4437,13.5113,03-Jan-14
13.5215,13.4539,13.5215,06-Jan-14
13.5252,13.4576,13.5252,07-Jan-14
13.5271,13.4595,13.5271,08-Jan-14
13.5261,13.4585,13.5261,09-Jan-14
13.532,13.4643,13.532,10-Jan-14
13.5438,13.4761,13.5438,13-Jan-14
13.557,13.4892,13.557,15-Jan-14
13.5627,13.4949,13.5627,16-Jan-14
13.5696,13.5018,13.5696,17-Jan-14
13.5792,13.5113,13.5792,20-Jan-14
13.587,13.5191,13.587,21-Jan-14
13.5833,13.5154,13.5833,22-Jan-14
13.588,13.5201,13.588,23-Jan-14
13.5853,13.5174,13.5853,24-Jan-14
13.5945,13.5265,13.5945,27-Jan-14
13.5805,13.5126,13.5805,28-Jan-14
13.5839,13.516,13.5839,29-Jan-14
13.5773,13.5094,13.5773,30-Jan-14
13.5775,13.5096,13.5775,31-Jan-14
13.5891,13.5212,13.5891,03-Feb-14
13.5973,13.5293,13.5973,04-Feb-14
13.6044,13.5364,13.6044,05-Feb-14
13.6111,13.543,13.6111,06-Feb-14
13.6148,13.5467,13.6148,07-Feb-14
13.626,13.5579,13.626,10-Feb-14
13.6232,13.5551,13.6232,11-Feb-14
13.6212,13.5531,13.6212,12-Feb-14
13.6194,13.5513,13.6194,13-Feb-14
13.6174,13.5493,13.6174,14-Feb-14
13.6299,13.5618,13.6299,17-Feb-14
13.6323,13.5641,13.6323,18-Feb-14
13.642,13.5738,13.642,20-Feb-14
13.6465,13.5783,13.6465,21-Feb-14
13.6566,13.5883,13.6566,24-Feb-14
13.6584,13.5901,13.6584,25-Feb-14
13.6615,13.5932,13.6615,26-Feb-14
13.6679,13.5996,13.6679,28-Feb-14
13.6775,13.6091,13.6775,03-Mar-14
13.6765,13.6081,13.6765,04-Mar-14
13.6858,13.6174,13.6858,05-Mar-14
13.6931,13.6246,13.6931,06-Mar-14
13.702,13.6335,13.702,07-Mar-14
13.716,13.6474,13.716,10-Mar-14
13.7313,13.6626,13.7313,11-Mar-14
13.7353,13.6666,13.7353,12-Mar-14
13.7404,13.6717,13.7404,13-Mar-14
13.7448,13.6761,13.7448,14-Mar-14
13.7585,13.6897,13.7585,18-Mar-14
13.7632,13.6944,13.7632,19-Mar-14
13.7699,13.7011,13.7699,20-Mar-14
13.7842,13.7153,13.7842,21-Mar-14
13.805,13.736,13.805,24-Mar-14
13.8073,13.7383,13.8073,25-Mar-14
13.8046,13.7356,13.8046,26-Mar-14
13.8083,13.7393,13.8083,27-Mar-14
13.8251,13.756,13.8251,28-Mar-14
13.8353,13.7661,13.8353,31-Mar-14
13.833,13.7638,13.833,02-Apr-14
13.8359,13.7667,13.8359,03-Apr-14
13.8336,13.7644,13.8336,04-Apr-14
13.842,13.7728,13.842,07-Apr-14
13.8451,13.7759,13.8451,09-Apr-14
13.8452,13.776,13.8452,10-Apr-14
13.8527,13.7834,13.8527,11-Apr-14
13.8667,13.7974,13.8667,15-Apr-14
13.8788,13.8094,13.8788,16-Apr-14
13.8826,13.8132,13.8826,17-Apr-14
13.9002,13.8307,13.9002,21-Apr-14
13.9075,13.838,13.9075,22-Apr-14
13.9117,13.8421,13.9117,23-Apr-14
13.9193,13.8497,13.9193,25-Apr-14
13.9258,13.8562,13.9258,28-Apr-14
13.9302,13.8605,13.9302,29-Apr-14
13.9381,13.8684,13.9381,30-Apr-14
13.9487,13.879,13.9487,02-May-14
13.9642,13.8944,13.9642,05-May-14
13.9684,13.8986,13.9684,06-May-14
13.9734,13.9035,13.9734,07-May-14
13.9817,13.9118,13.9817,08-May-14
13.9911,13.9211,13.9911,09-May-14
14.0092,13.9392,14.0092,12-May-14
14.0122,13.9421,14.0122,13-May-14
14.0203,13.9502,14.0203,15-May-14
14.0353,13.9651,14.0353,16-May-14
14.0438,13.9736,14.0438,19-May-14
14.0459,13.9757,14.0459,20-May-14
14.0521,13.9818,14.0521,21-May-14
14.0568,13.9865,14.0568,22-May-14
14.0714,14.001,14.0714,23-May-14
14.0772,14.0068,14.0772,26-May-14
14.0842,14.0138,14.0842,27-May-14
14.0879,14.0175,14.0879,28-May-14
14.0954,14.0249,14.0954,29-May-14
14.0999,14.0294,14.0999,30-May-14
14.1072,14.0367,14.1072,02-Jun-14
14.1157,14.0451,14.1157,03-Jun-14
14.126,14.0554,14.126,04-Jun-14
14.1312,14.0605,14.1312,05-Jun-14
14.1342,14.0635,14.1342,06-Jun-14
14.1499,14.0792,14.1499,09-Jun-14
14.1508,14.08,14.1508,10-Jun-14
14.1496,14.0789,14.1496,11-Jun-14
14.1539,14.0831,14.1539,12-Jun-14
14.1591,14.0883,14.1591,13-Jun-14
14.1637,14.0929,14.1637,16-Jun-14
14.1623,14.0915,14.1623,17-Jun-14
14.1649,14.0941,14.1649,18-Jun-14
14.1634,14.0926,14.1634,19-Jun-14
14.1641,14.0933,14.1641,20-Jun-14
14.1709,14.1,14.1709,23-Jun-14
14.1707,14.0998,14.1707,24-Jun-14
14.1743,14.1034,14.1743,25-Jun-14
14.1823,14.1114,14.1823,26-Jun-14
14.1849,14.114,14.1849,27-Jun-14
14.1967,14.1257,14.1967,30-Jun-14
14.2094,14.1384,14.2094,02-Jul-14
14.2134,14.1423,14.2134,03-Jul-14
14.2177,14.1466,14.2177,04-Jul-14
14.228,14.1569,14.228,07-Jul-14
14.2297,14.1586,14.2297,08-Jul-14
14.2322,14.161,14.2322,09-Jul-14
14.2352,14.164,14.2352,10-Jul-14
14.205,14.134,14.205,11-Jul-14
14.2048,14.1338,14.2048,14-Jul-14
14.2095,14.1385,14.2095,15-Jul-14
14.2181,14.147,14.2181,16-Jul-14
14.2252,14.1541,14.2252,17-Jul-14
14.2301,14.1589,14.2301,18-Jul-14
14.2439,14.1727,14.2439,21-Jul-14
14.2546,14.1833,14.2546,22-Jul-14
14.2647,14.1934,14.2647,23-Jul-14
14.2752,14.2038,14.2752,24-Jul-14
14.2795,14.2081,14.2795,25-Jul-14
14.2868,14.2154,14.2868,28-Jul-14
