Net Asset Value,Repurchase Price,Sale Price,NAV date
24.6142,24.3681,24.6142,06-Dec-13
24.6104,24.3643,24.6104,09-Dec-13
24.6154,24.3692,24.6154,10-Dec-13
24.6138,24.3677,24.6138,11-Dec-13
24.5824,24.3366,24.5824,12-Dec-13
24.5279,24.2826,24.5279,13-Dec-13
24.5615,24.3159,24.5615,16-Dec-13
24.5677,24.322,24.5677,17-Dec-13
24.654,24.4075,24.654,18-Dec-13
24.6622,24.4156,24.6622,19-Dec-13
24.7025,24.4555,24.7025,20-Dec-13
24.6892,24.4423,24.6892,23-Dec-13
24.6576,24.411,24.6576,24-Dec-13
24.7187,24.4715,24.7187,26-Dec-13
24.6977,24.4507,24.6977,27-Dec-13
24.7222,24.475,24.7222,30-Dec-13
24.7427,24.4953,24.7427,31-Dec-13
24.7491,24.5016,24.7491,01-Jan-14
24.7314,24.4841,24.7314,02-Jan-14
24.7648,24.5172,24.7648,03-Jan-14
24.7858,24.5379,24.7858,06-Jan-14
24.7628,24.5152,24.7628,07-Jan-14
24.7662,24.5185,24.7662,08-Jan-14
24.7809,24.5331,24.7809,09-Jan-14
24.7647,24.5171,24.7647,10-Jan-14
24.8175,24.5693,24.8175,13-Jan-14
24.8812,24.6324,24.8812,15-Jan-14
24.89,24.6411,24.89,16-Jan-14
24.8175,24.5693,24.8175,17-Jan-14
24.8789,24.6301,24.8789,20-Jan-14
24.9054,24.6563,24.9054,21-Jan-14
24.8914,24.6425,24.8914,22-Jan-14
24.8977,24.6487,24.8977,23-Jan-14
24.8121,24.564,24.8121,24-Jan-14
24.7126,24.4655,24.7126,27-Jan-14
24.6743,24.4276,24.6743,28-Jan-14
24.6609,24.4143,24.6609,29-Jan-14
24.5858,24.3399,24.5858,30-Jan-14
24.6469,24.4004,24.6469,31-Jan-14
24.6254,24.3791,24.6254,03-Feb-14
24.6572,24.4106,24.6572,04-Feb-14
24.704,24.457,24.704,05-Feb-14
24.7293,24.482,24.7293,06-Feb-14
24.7514,24.5039,24.7514,07-Feb-14
24.7745,24.5268,24.7745,10-Feb-14
24.7722,24.5245,24.7722,11-Feb-14
24.7577,24.5101,24.7577,12-Feb-14
24.7093,24.4622,24.7093,13-Feb-14
24.7422,24.4948,24.7422,14-Feb-14
24.7479,24.5004,24.7479,17-Feb-14
24.7811,24.5333,24.7811,18-Feb-14
