Net Asset Value,Repurchase Price,Sale Price,NAV date
26.788,26.52,26.788,03-Feb-14
26.799,26.531,26.799,04-Feb-14
27.015,26.745,27.015,05-Feb-14
26.966,26.696,26.966,06-Feb-14
27.167,26.895,27.167,07-Feb-14
27.125,26.854,27.125,10-Feb-14
27.229,26.957,27.229,11-Feb-14
27.341,27.068,27.341,12-Feb-14
26.951,26.681,26.951,13-Feb-14
27.017,26.747,27.017,14-Feb-14
27.043,26.773,27.043,17-Feb-14
27.221,26.949,27.221,18-Feb-14
27.284,27.011,27.284,19-Feb-14
27.162,26.89,27.162,20-Feb-14
27.454,27.179,27.454,21-Feb-14
27.494,27.219,27.494,24-Feb-14
27.515,27.24,27.515,25-Feb-14
27.609,27.333,27.609,26-Feb-14
27.817,27.539,27.817,28-Feb-14
27.556,27.28,27.556,03-Mar-14
27.875,27.596,27.875,04-Mar-14
28.158,27.876,28.158,05-Mar-14
28.52,28.235,28.52,06-Mar-14
28.983,28.693,28.983,07-Mar-14
29.066,28.775,29.066,10-Mar-14
28.924,28.635,28.924,11-Mar-14
28.797,28.509,28.797,12-Mar-14
28.758,28.47,28.758,13-Mar-14
28.916,28.627,28.916,14-Mar-14
29.138,28.847,29.138,18-Mar-14
29.206,28.914,29.206,19-Mar-14
29.012,28.722,29.012,20-Mar-14
29.255,28.962,29.255,21-Mar-14
29.617,29.321,29.617,24-Mar-14
29.766,29.468,29.766,25-Mar-14
29.853,29.554,29.853,26-Mar-14
30.113,29.812,30.113,27-Mar-14
30.553,30.247,30.553,28-Mar-14
30.745,30.438,30.745,31-Mar-14
30.715,30.408,30.715,01-Apr-14
31.038,30.728,31.038,02-Apr-14
30.799,30.491,30.799,03-Apr-14
30.75,30.443,30.75,04-Apr-14
30.735,30.428,30.735,07-Apr-14
31.355,31.041,31.355,09-Apr-14
31.622,31.306,31.622,10-Apr-14
31.635,31.319,31.635,11-Apr-14
31.453,31.138,31.453,15-Apr-14
31.24,30.928,31.24,16-Apr-14
31.846,31.528,31.846,17-Apr-14
32.157,31.835,32.157,21-Apr-14
32.092,31.771,32.092,22-Apr-14
32.134,31.813,32.134,23-Apr-14
31.954,31.634,31.954,25-Apr-14
31.95,31.631,31.95,28-Apr-14
31.7,31.383,31.7,29-Apr-14
31.351,31.037,31.351,30-Apr-14
31.437,31.123,31.437,02-May-14
31.451,31.136,31.451,05-May-14
31.522,31.207,31.522,06-May-14
31.449,31.135,31.449,07-May-14
31.537,31.222,31.537,08-May-14
32.397,32.073,32.397,09-May-14
33.033,32.703,33.033,12-May-14
33.474,33.139,33.474,13-May-14
33.806,33.468,33.806,14-May-14
33.701,33.364,33.701,15-May-14
34.537,34.192,34.537,16-May-14
35.876,35.517,35.876,19-May-14
35.966,35.606,35.966,20-May-14
36,35.64,36,21-May-14
36.531,36.166,36.531,22-May-14
37.342,36.969,37.342,23-May-14
37.092,36.721,37.092,26-May-14
36.579,36.213,36.579,27-May-14
36.692,36.325,36.692,28-May-14
36.235,35.873,36.235,29-May-14
36.162,35.8,36.162,30-May-14
37.177,36.805,37.177,02-Jun-14
37.544,37.169,37.544,03-Jun-14
37.823,37.445,37.823,04-Jun-14
38.388,38.004,38.388,05-Jun-14
39.074,38.683,39.074,06-Jun-14
39.542,39.147,39.542,09-Jun-14
39.367,38.973,39.367,10-Jun-14
39.272,38.879,39.272,11-Jun-14
39.437,39.043,39.437,12-Jun-14
38.407,38.023,38.407,13-Jun-14
38.426,38.042,38.426,16-Jun-14
39.018,38.628,39.018,17-Jun-14
38.752,38.364,38.752,18-Jun-14
38.604,38.218,38.604,19-Jun-14
38.335,37.952,38.335,20-Jun-14
38.35,37.967,38.35,23-Jun-14
39.114,38.723,39.114,24-Jun-14
39.2,38.808,39.2,25-Jun-14
38.955,38.565,38.955,26-Jun-14
39.144,38.753,39.144,27-Jun-14
39.834,39.436,39.834,30-Jun-14
40.141,39.74,40.141,01-Jul-14
40.549,40.144,40.549,02-Jul-14
40.591,40.185,40.591,03-Jul-14
40.629,40.223,40.629,04-Jul-14
40.814,40.406,40.814,07-Jul-14
39.332,38.939,39.332,08-Jul-14
38.935,38.546,38.935,09-Jul-14
39.009,38.619,39.009,10-Jul-14
37.862,37.483,37.862,11-Jul-14
37.972,37.592,37.972,14-Jul-14
38.901,38.512,38.901,15-Jul-14
39.277,38.884,39.277,16-Jul-14
39.686,39.289,39.686,17-Jul-14
39.663,39.266,39.663,18-Jul-14
39.522,39.127,39.522,21-Jul-14
39.648,39.252,39.648,22-Jul-14
39.769,39.371,39.769,23-Jul-14
39.874,39.475,39.874,24-Jul-14
39.283,38.89,39.283,25-Jul-14
38.923,38.534,38.923,28-Jul-14
39.097,38.706,39.097,30-Jul-14
38.97,38.58,38.97,31-Jul-14
38.671,38.284,38.671,01-Aug-14
39.117,38.726,39.117,04-Aug-14
39.256,38.863,39.256,05-Aug-14
38.956,38.566,38.956,06-Aug-14
38.755,38.367,38.755,07-Aug-14
38.225,37.843,38.225,08-Aug-14
38.619,38.233,38.619,11-Aug-14
39.167,38.775,39.167,12-Aug-14
38.781,38.393,38.781,13-Aug-14
39.261,38.868,39.261,14-Aug-14
40.241,39.839,40.241,18-Aug-14
40.715,40.308,40.715,19-Aug-14
40.686,40.279,40.686,20-Aug-14
40.894,40.485,40.894,21-Aug-14
41.128,40.717,41.128,22-Aug-14
40.84,40.432,40.84,25-Aug-14
40.56,40.154,40.56,26-Aug-14
40.871,40.462,40.871,27-Aug-14
40.777,40.369,40.777,28-Aug-14
41.427,41.013,41.427,01-Sep-14
41.596,41.18,41.596,02-Sep-14
41.892,41.473,41.892,03-Sep-14
41.638,41.222,41.638,04-Sep-14
41.95,41.531,41.95,05-Sep-14
