Net Asset Value,Repurchase Price,Sale Price,NAV date
59.808,59.2099,59.808,07-Nov-13
59.9159,59.3167,59.9159,08-Nov-13
59.7335,59.1362,59.7335,11-Nov-13
59.2777,58.6849,59.2777,12-Nov-13
59.0981,58.5071,59.0981,13-Nov-13
59.4101,58.816,59.4101,14-Nov-13
59.9854,59.3855,59.9854,18-Nov-13
60.4224,59.8182,60.4224,19-Nov-13
60.2765,59.6737,60.2765,20-Nov-13
59.8858,59.2869,59.8858,21-Nov-13
59.8162,59.218,59.8162,22-Nov-13
60.3512,59.7477,60.3512,25-Nov-13
60.0443,59.4439,60.0443,26-Nov-13
60.1615,59.5599,60.1615,27-Nov-13
60.5855,59.9796,60.5855,28-Nov-13
61.0712,60.4605,61.0712,29-Nov-13
61.7071,61.09,61.7071,02-Dec-13
61.7611,61.1435,61.7611,03-Dec-13
61.8397,61.2213,61.8397,04-Dec-13
62.1103,61.4892,62.1103,05-Dec-13
62.3036,61.6806,62.3036,06-Dec-13
62.3514,61.7279,62.3514,09-Dec-13
62.0639,61.4433,62.0639,10-Dec-13
62.1488,61.5273,62.1488,11-Dec-13
62.0892,61.4683,62.0892,12-Dec-13
61.7455,61.128,61.7455,13-Dec-13
61.8753,61.2565,61.8753,16-Dec-13
61.7382,61.1208,61.7382,17-Dec-13
62.0243,61.4041,62.0243,18-Dec-13
61.8554,61.2368,61.8554,19-Dec-13
62.2857,61.6628,62.2857,20-Dec-13
62.5881,61.9622,62.5881,23-Dec-13
62.6669,62.0402,62.6669,24-Dec-13
62.9072,62.2781,62.9072,26-Dec-13
63.0381,62.4077,63.0381,27-Dec-13
63.3128,62.6797,63.3128,30-Dec-13
63.4142,62.7801,63.4142,31-Dec-13
63.4633,62.8287,63.4633,01-Jan-14
62.9031,62.2741,62.9031,02-Jan-14
62.909,62.2799,62.909,03-Jan-14
62.7986,62.1706,62.7986,06-Jan-14
62.7113,62.0842,62.7113,07-Jan-14
62.9154,62.2862,62.9154,08-Jan-14
62.742,62.1146,62.742,09-Jan-14
62.7969,62.1689,62.7969,10-Jan-14
63.0626,62.432,63.0626,13-Jan-14
62.9977,62.3677,62.9977,14-Jan-14
63.138,62.5066,63.138,15-Jan-14
63.1037,62.4727,63.1037,16-Jan-14
62.6485,62.022,62.6485,17-Jan-14
62.8605,62.2319,62.8605,20-Jan-14
63.0534,62.4229,63.0534,21-Jan-14
63.1716,62.5399,63.1716,22-Jan-14
63.4768,62.842,63.4768,23-Jan-14
63.0616,62.431,63.0616,24-Jan-14
62.3436,61.7202,62.3436,27-Jan-14
62.1586,61.537,62.1586,28-Jan-14
61.956,61.3364,61.956,29-Jan-14
61.5431,60.9277,61.5431,30-Jan-14
61.8617,61.2431,61.8617,31-Jan-14
61.6899,61.073,61.6899,03-Feb-14
61.7067,61.0896,61.7067,04-Feb-14
61.7076,61.0905,61.7076,05-Feb-14
61.6185,61.0023,61.6185,06-Feb-14
61.5057,60.8906,61.5057,07-Feb-14
61.4847,60.8699,61.4847,10-Feb-14
61.5196,60.9044,61.5196,11-Feb-14
61.6049,60.9889,61.6049,12-Feb-14
61.2875,60.6746,61.2875,13-Feb-14
61.3853,60.7714,61.3853,14-Feb-14
61.3955,60.7815,61.3955,17-Feb-14
61.7392,61.1218,61.7392,18-Feb-14
61.9626,61.343,61.9626,19-Feb-14
62.1478,61.5263,62.1478,20-Feb-14
62.318,61.6948,62.318,21-Feb-14
62.4862,61.8613,62.4862,24-Feb-14
62.6315,62.0052,62.6315,25-Feb-14
62.6706,62.0439,62.6706,26-Feb-14
62.7357,62.1083,62.7357,28-Feb-14
62.5247,61.8995,62.5247,03-Mar-14
63.0784,62.4476,63.0784,04-Mar-14
63.3928,62.7589,63.3928,05-Mar-14
63.6905,63.0536,63.6905,06-Mar-14
63.9731,63.3334,63.9731,07-Mar-14
64.3101,63.667,64.3101,10-Mar-14
64.364,63.7204,64.364,11-Mar-14
64.6255,63.9792,64.6255,12-Mar-14
64.4049,63.7609,64.4049,13-Mar-14
64.2696,63.6269,64.2696,14-Mar-14
64.6613,64.0147,64.6613,18-Mar-14
64.907,64.2579,64.907,19-Mar-14
64.9249,64.2757,64.9249,20-Mar-14
65.2155,64.5633,65.2155,21-Mar-14
65.5687,64.913,65.5687,24-Mar-14
65.7921,65.1342,65.7921,25-Mar-14
65.5646,64.909,65.5646,26-Mar-14
65.7637,65.1061,65.7637,27-Mar-14
66.0448,65.3844,66.0448,28-Mar-14
66.5732,65.9075,66.5732,31-Mar-14
66.6349,65.9686,66.6349,01-Apr-14
67.0438,66.3734,67.0438,02-Apr-14
67.0662,66.3955,67.0662,03-Apr-14
66.9493,66.2798,66.9493,04-Apr-14
66.8209,66.1527,66.8209,07-Apr-14
67.6075,66.9314,67.6075,09-Apr-14
67.5274,66.8521,67.5274,10-Apr-14
67.5707,66.895,67.5707,11-Apr-14
67.7128,67.0357,67.7128,15-Apr-14
67.8683,67.1896,67.8683,16-Apr-14
68.2705,67.5878,68.2705,17-Apr-14
68.4263,67.742,68.4263,21-Apr-14
68.4975,67.8125,68.4975,22-Apr-14
68.6927,68.0058,68.6927,23-Apr-14
68.3719,67.6882,68.3719,25-Apr-14
68.5335,67.8482,68.5335,28-Apr-14
68.4194,67.7352,68.4194,29-Apr-14
68.3391,67.6557,68.3391,30-Apr-14
68.3973,67.7133,68.3973,02-May-14
68.2838,67.601,68.2838,05-May-14
68.4615,67.7769,68.4615,06-May-14
68.4696,67.7849,68.4696,07-May-14
68.5032,67.8182,68.5032,08-May-14
69.282,68.5892,69.282,09-May-14
69.7017,69.0047,69.7017,12-May-14
70.0849,69.3841,70.0849,13-May-14
69.8692,69.1705,69.8692,14-May-14
69.6034,68.9074,69.6034,15-May-14
70.0803,69.3795,70.0803,16-May-14
70.6357,69.9293,70.6357,19-May-14
71.3219,70.6087,71.3219,20-May-14
71.6785,70.9617,71.6785,21-May-14
72.2741,71.5514,72.2741,22-May-14
72.9155,72.1863,72.9155,23-May-14
72.3526,71.6291,72.3526,26-May-14
72.5576,71.832,72.5576,27-May-14
72.7303,72.003,72.7303,28-May-14
72.4056,71.6815,72.4056,29-May-14
72.2922,71.5693,72.2922,30-May-14
73.0927,72.3618,73.0927,02-Jun-14
73.6785,72.9417,73.6785,03-Jun-14
73.8667,73.128,73.8667,04-Jun-14
74.1837,73.4419,74.1837,05-Jun-14
75.1813,74.4295,75.1813,06-Jun-14
75.3774,74.6236,75.3774,09-Jun-14
75.1889,74.437,75.1889,10-Jun-14
75.0297,74.2794,75.0297,11-Jun-14
75.4848,74.73,75.4848,12-Jun-14
74.6164,73.8702,74.6164,13-Jun-14
74.6425,73.8961,74.6425,16-Jun-14
75.5826,74.8268,75.5826,17-Jun-14
75.5896,74.8337,75.5896,18-Jun-14
75.2101,74.458,75.2101,19-Jun-14
75.1238,74.3726,75.1238,20-Jun-14
75.2868,74.5339,75.2868,23-Jun-14
75.7857,75.0278,75.7857,24-Jun-14
75.9841,75.2243,75.9841,25-Jun-14
75.6521,74.8956,75.6521,26-Jun-14
75.9225,75.1633,75.9225,27-Jun-14
77.2833,76.5105,77.2833,30-Jun-14
77.5164,76.7412,77.5164,01-Jul-14
78.6543,77.8678,78.6543,02-Jul-14
78.8352,78.0468,78.8352,03-Jul-14
79.1765,78.3847,79.1765,04-Jul-14
79.1004,78.3094,79.1004,07-Jul-14
77.8853,77.1064,77.8853,08-Jul-14
77.5447,76.7693,77.5447,09-Jul-14
77.8618,77.0832,77.8618,10-Jul-14
76.9386,76.1692,76.9386,11-Jul-14
76.8028,76.0348,76.8028,14-Jul-14
77.8269,77.0486,77.8269,15-Jul-14
78.7498,77.9623,78.7498,16-Jul-14
79.1785,78.3867,79.1785,17-Jul-14
79.0753,78.2845,79.0753,18-Jul-14
79.5369,78.7415,79.5369,21-Jul-14
79.9483,79.1488,79.9483,22-Jul-14
80.2165,79.4143,80.2165,23-Jul-14
80.3363,79.5329,80.3363,24-Jul-14
79.7034,78.9064,79.7034,25-Jul-14
79.2191,78.4269,79.2191,28-Jul-14
79.1287,78.3374,79.1287,30-Jul-14
79.1303,78.339,79.1303,31-Jul-14
78.4921,77.7072,78.4921,01-Aug-14
79.1018,78.3108,79.1018,04-Aug-14
79.3897,78.5958,79.3897,05-Aug-14
78.7247,77.5438,78.7247,06-Aug-14
78.5836,77.4048,78.5836,07-Aug-14
77.8863,76.718,77.8863,08-Aug-14
78.2474,77.0737,78.2474,11-Aug-14
79.0469,77.8612,79.0469,12-Aug-14
78.8851,77.7018,78.8851,13-Aug-14
79.5802,78.3865,79.5802,14-Aug-14
80.6096,79.4005,80.6096,18-Aug-14
80.9136,79.6999,80.9136,19-Aug-14
81.3736,80.153,81.3736,20-Aug-14
81.9518,80.7225,81.9518,21-Aug-14
82.0798,80.8486,82.0798,22-Aug-14
81.5971,80.3731,81.5971,25-Aug-14
81.4723,80.2502,81.4723,26-Aug-14
82.0456,80.8149,82.0456,27-Aug-14
82.3132,81.0785,82.3132,28-Aug-14
82.7645,81.523,82.7645,01-Sep-14
83.3613,82.1109,83.3613,02-Sep-14
83.7956,82.5387,83.7956,03-Sep-14
83.7203,82.4645,83.7203,04-Sep-14
83.7298,82.4739,83.7298,05-Sep-14
84.0601,82.7992,84.0601,08-Sep-14
84.1404,82.8783,84.1404,09-Sep-14
84.2071,82.944,84.2071,10-Sep-14
84.9682,83.6937,84.9682,11-Sep-14
85.7053,84.4197,85.7053,12-Sep-14
85.7799,84.4932,85.7799,15-Sep-14
83.983,82.7233,83.983,16-Sep-14
83.9242,82.6653,83.9242,17-Sep-14
85.0543,83.7785,85.0543,18-Sep-14
85.1211,83.8443,85.1211,19-Sep-14
85.2306,83.9521,85.2306,22-Sep-14
84.1034,82.8418,84.1034,23-Sep-14
83.768,82.5115,83.768,24-Sep-14
82.9014,81.6579,82.9014,25-Sep-14
83.5751,82.3215,83.5751,26-Sep-14
84.0744,82.8133,84.0744,29-Sep-14
84.3634,83.0979,84.3634,30-Sep-14
84.4678,83.2008,84.4678,01-Oct-14
83.5446,82.2914,83.5446,07-Oct-14
83.4805,82.2283,83.4805,08-Oct-14
84.0682,82.8072,84.0682,09-Oct-14
83.4166,82.1654,83.4166,10-Oct-14
83.6883,82.433,83.6883,13-Oct-14
83.776,82.5194,83.776,14-Oct-14
82.7563,81.515,82.7563,16-Oct-14
82.7839,81.5421,82.7839,17-Oct-14
83.3791,82.1284,83.3791,20-Oct-14
83.7686,82.5121,83.7686,21-Oct-14
84.4388,83.1722,84.4388,22-Oct-14
85.0847,83.8084,85.0847,27-Oct-14
85.3404,84.0603,85.3404,28-Oct-14
85.7063,84.4207,85.7063,29-Oct-14
86.0191,84.7288,86.0191,30-Oct-14
86.7221,85.4213,86.7221,31-Oct-14
86.7443,85.4431,86.7443,03-Nov-14
87.048,85.7423,87.048,05-Nov-14
87.3349,86.0249,87.3349,07-Nov-14
87.5169,86.2041,87.5169,10-Nov-14
87.6835,86.3682,87.6835,11-Nov-14
87.9602,86.6408,87.9602,12-Nov-14
87.7568,86.4404,87.7568,13-Nov-14
88.172,86.8494,88.172,14-Nov-14
88.7991,87.4671,88.7991,17-Nov-14
88.9263,87.5924,88.9263,18-Nov-14
88.9432,87.6091,88.9432,19-Nov-14
89.2254,87.887,89.2254,20-Nov-14
89.2977,87.9582,89.2977,21-Nov-14
89.6302,88.2857,89.6302,24-Nov-14
88.8246,87.4922,88.8246,25-Nov-14
89.1092,87.7726,89.1092,26-Nov-14
89.1984,87.8604,89.1984,27-Nov-14
89.8916,88.5432,89.8916,28-Nov-14
89.7638,88.4173,89.7638,01-Dec-14
90.0587,88.7078,90.0587,02-Dec-14
90.6364,89.2769,90.6364,03-Dec-14
91.0428,89.6772,91.0428,04-Dec-14
90.8837,89.5204,90.8837,05-Dec-14
90.341,88.9859,90.341,08-Dec-14
89.4461,88.1044,89.4461,09-Dec-14
89.9999,88.6499,89.9999,10-Dec-14
90.1081,88.7565,90.1081,11-Dec-14
89.7606,88.4142,89.7606,12-Dec-14
89.6243,88.2799,89.6243,15-Dec-14
87.9952,86.6753,87.9952,16-Dec-14
87.7527,86.4364,87.7527,17-Dec-14
88.9429,87.6088,88.9429,18-Dec-14
89.3405,88.0004,89.3405,19-Dec-14
89.8668,88.5188,89.8668,22-Dec-14
89.8157,88.4685,89.8157,23-Dec-14
89.5488,88.2056,89.5488,24-Dec-14
89.6906,88.3452,89.6906,26-Dec-14
90.512,89.1543,90.512,29-Dec-14
91.0478,89.6821,91.0478,30-Dec-14
91.3858,90.015,91.3858,31-Dec-14
92.0812,90.7,92.0812,01-Jan-15
92.4424,91.0558,92.4424,02-Jan-15
92.3709,90.9853,92.3709,05-Jan-15
90.6575,89.2976,90.6575,06-Jan-15
90.5723,89.2137,90.5723,07-Jan-15
91.9306,90.5516,91.9306,08-Jan-15
92.3888,91.003,92.3888,09-Jan-15
92.8607,91.4678,92.8607,12-Jan-15
92.8329,91.4404,92.8329,13-Jan-15
92.9078,91.5142,92.9078,14-Jan-15
93.6832,92.278,93.6832,15-Jan-15
94.1089,92.6973,94.1089,16-Jan-15
94.7728,93.3512,94.7728,19-Jan-15
95.3673,93.9368,95.3673,20-Jan-15
95.5754,94.1418,95.5754,21-Jan-15
95.7773,94.3406,95.7773,22-Jan-15
96.022,94.5817,96.022,23-Jan-15
97.3325,95.8725,97.3325,27-Jan-15
97.2544,95.7956,97.2544,28-Jan-15
97.752,96.2857,97.752,29-Jan-15
97.2507,95.7919,97.2507,30-Jan-15
97.4378,95.9762,97.4378,02-Feb-15
96.6909,95.2405,96.6909,03-Feb-15
96.0797,94.6385,96.0797,04-Feb-15
95.6594,94.2245,95.6594,05-Feb-15
94.5916,93.1727,94.5916,06-Feb-15
93.6198,92.2155,93.6198,09-Feb-15
94.0646,92.6536,94.0646,10-Feb-15
94.9231,93.4993,94.9231,11-Feb-15
95.4634,94.0314,95.4634,12-Feb-15
96.1053,94.6637,96.1053,13-Feb-15
96.5225,95.0747,96.5225,16-Feb-15
97.3164,95.8567,97.3164,18-Feb-15
97.401,95.94,97.401,19-Feb-15
97.0993,95.6428,97.0993,20-Feb-15
96.2747,94.8306,96.2747,23-Feb-15
96.1899,94.7471,96.1899,24-Feb-15
95.9487,94.5095,95.9487,25-Feb-15
95.4007,93.9697,95.4007,26-Feb-15
